B1_GA Gross domestic product (output approach),"B1G_P119 Gross value added at basic prices, excluding FISIM",P3_P5 Domestic demand,D1 Compensation of employees,P6 Exports of goods and services,"B1G Gross value added at basic prices, total activity",D21S1 Taxes on products,P31S14_S15 Households and Non-profit institutions serving households,D2S1 Taxes on production and imports,P51 Gross fixed capital formation,P31S14 Final consumption expenditure of households,P31S13 Individual consumption expenditure of general government,P52 Changes in inventories,P61 Exports of goods,P71 Imports of goods,P51N11131 Transport equipment,P72 Imports of services,P62 Exports of services,P32S13 Collective consumption expenditure of general government,P31S15 Final consumption expenditure of non-profit institutions serving households,P52_P53 Changes in inventories and acquisitions less disposals of valuables,D31S1 Subsidies on products,P3S13 Final consumption expenditure of general government,B2G_B3G Gross operating surplus and gross mixed income,D3S1 Subsidies on production and imports,P7 Imports of goods and services,P3 Final consumption expenditure,D21_D31 Taxes less subsidies on products,B1_GE Gross domestic product (expenditure approach),B1_GI Gross domestic product (income approach),P5 Gross capital formation,D2_D3 Taxes less subsidies on production and imports,P41 of which: Actual individual consumption,DB1_GI Statistical discrepancy,B11 External balance of goods and services,DB1_GE Statistical discrepancy,P51N1111 Dwellings,P51N1112 Other buildings and structures,P51N112 Intellectual property product,D11 Wages and salaries,"D11VG_I Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)",D11VL Real estate activities (ISIC rev4),D11VF Construction (ISIC rev4),D11VO_Q Public admin.; compulsory s.s.; education; human health (ISIC rev4),D11VK Financial and insurance activities (ISIC rev4),P51N1113 Machinery and equipment and weapon system,"D11VB_E Industry, including energy (ISIC rev4)","D11VM_N Prof., scientific, techn.; admin., support serv. activities (ISIC rev4)",D11VR_U Other service activities (ISIC rev4),D11VJ Information and communication (ISIC rev4),D11VC of which: Manufacturing (ISIC rev4),"D11VA Agriculture, forestry and fishing (ISIC rev4)",D12 Employers' social contributions,"P51N1113I ICT equipment, SNA08","P51N1113O Other machinery and equipment and weapon system, SNA08",next_yr_gdp
1577660,1473053,1544317,783930,540026,1473053,114803,863424,185900,368210,842029,186681.2,8975,462309,416140,18119,89561,77717,117027.834,21395,8975,10196,303708,622254,15404,505701,1167132,104607,1577661,1577661,377185,170496,1050105.2,981,34325,-981,112023,115600,50747,684981,148249,11499.65,49308,168690,56145.35,89840,128018.95,70107.15,27058.9,18331,95364,7573,98949,24543,47178,1657040
1657040,1555045,1628096,819727,569939,1555045,111284,902446,184820,388891,878509,199465.73,10000,488184,443940,17442,96729,81755,127294.304,23937,10000,9288,326759,667449,15281,540669,1229205,101996,1657041,1657041,398891,169539,1101911.73,326,29270,-325,110349,132742,53239,716169,153523.8,12021.04,55141,179997,58690.96,92561,126226.59,75216.63,29030.98,18714,90802,7607,103558,24906,50213,1571334
1571334,1469118,1594857,812073,448079,1469118,112629,904663,187969,350517,881695,209884.295,-5460,368101,374320,13478,96429,79978,135252.705,22968,-5460,10414,345137,586539,16101,470749,1249800,102215,1571334,1571334,345057,171868,1114547.295,854,-22670,-853,103633,120039,47594,705172,149865.6,11545.72,53442,190833,56370.28,79251,115327.38,73722.66,28454.36,18300,80850,7311,106901,23402,42371,1666046
1774063,1662354,1795353,883045,544254,1662354,125665,991750,205821,417091,967084,233214.848,11371,457586,456395,15287,108118,86668,141926.152,24666,11371,13956,375141,704297,20132,564513,1366891,111709,1774063,1774063,428462,185689,1224964.848,1032,-20259,-1031,119714,159534,54719,766670,161200.2,12604.99,61453,204102,61542.01,83124,127183.76,80014.32,30882.72,19718,85426,7969,116375,22224,45613,1827205
1994897,1867752,2013521,998463,633112,1867752,139529,1113079,229447,486542,1086253,251340.332,9603,530628,525051,17319,126125,102484,152956.668,26826,9603,12383,404297,784410,17982,651176,1517376,127145,1994898,1994898,496145,211465,1364419.332,560,-18064,-559,138071,200818,59061,861053,183296,14190.24,76652,221925,69281.76,88592,138452.55,91801.35,35432.1,21277,90328,8745,137410,23155,48118,1990442
1990442,1856814,2040370,1026846,633955,1856814,146270,1150654,240836,474732,1122079,258342.851,-577,525314,549063,15832,133956,108641,157218.149,28575,-577,12643,415561,740532,18639,683019,1566215,133628,1990441,1990441,474155,222197,1408996.851,866,-49064,-865,146969,182897,56189,884410,189436.8,14880.44,76520,228631,72651.56,88677,137304.49,95844.93,36992.78,22851,92704,9297,142436,24000,48845,2025533
2025533,1886103,2071988,1026483,638095,1886103,151934,1184619,249288,461262,1153668,265040.751,-228,522302,547349,16577,138519,115793,161294.249,30951,-228,12504,426335,770427,19343,685868,1610954,139429,2025535,2025535,461034,229945,1449659.751,-1320,-47773,1320,157647,166452,56260,880138,188274.4,15009.47,71552,233918,73281.53,80903,131146.47,96470.79,37234.34,23597,91414,9654,146345,23651,40675,2140641
2140641,1991534,2188378,1069956,673326,1991534,162308,1241063,265131,485847,1209153,275515.311,18284,550526,575025,21097,145229,122800,167668.689,31910,18284,13200,443184,824399,19654,720254,1684247,149108,2140641,2140641,504131,245477,1516578.311,809,-46928,-809,168521,169609,60857,922093,199106.6,15501.45,76511,243366,75683.55,86860,136876.23,100960.11,38967.06,25019,94987,10102,147863,24960,40803,2235672
2235672,2083379,2279171,1126948,722690,2083379,168404,1294162,274574,506963,1260446,287442.098,15677,586165,607970,23912,158295,136525,174926.902,33716,15677,16111,462369,857169,22936,766265,1756531,152293,2235675,2235675,522640,251638,1581604.098,-80,-43575,79,170541,175313,66684,971922,212082.2,15726.02,81715,254656,76779.98,94425,144284.76,107602.32,41530.72,26766,100039,10779,155026,26459,44054,2311294
2206764,2071629,2259534,1161007,655852,2071629,159321,1263777,266251,519733,1227897,313291.863,-27926,522394,562652,19795,142702,133458,190658.137,35880,-27926,24186,503950,887507,105435,705354,1767727,135135,2209681,2209681,491807,160816,1577068.863,351,-49502,-351,189992,171346,71291,1001477,215152.6,16870.63,81453,274427,82368.37,87104,140770.38,105585.66,40752.36,32502,98166,11595,159530,27203,40106,2493129
